first_name,last_name,store_id,lifetime_rentals,lifetime_payments
SARA,PERRY,2,33,141.67
JESSIE,MILAM,1,33,141.67
CASEY,MENA,1,34,141.66
ELSIE,KELLEY,2,37,141.63
RAMON,CHOATE,2,31,140.69
GLENDA,FRAZIER,1,32,140.68
ANGELA,HERNANDEZ,2,36,140.64
JAMIE,RICE,1,29,139.71
ALVIN,DELOACH,2,29,139.71
STANLEY,SCROGGINS,2,30,139.70
ROBERTO,VU,1,30,139.70
GRACE,ELLIS,2,33,139.67
MORRIS,MCCARTER,2,34,139.66
JOE,GILLILAND,2,29,138.71
MAURICE,CRAWLEY,1,29,138.71
CHARLES,KOWALSKI,1,32,138.68
ALICE,STEWART,1,33,138.67
BRETT,CORNWELL,1,34,138.66
MARILYN,ROSS,1,30,137.70
ELLA,OLIVER,2,31,137.69
JOHN,FARNSWORTH,1,31,137.69
CRYSTAL,FORD,1,33,137.67
GERTRUDE,CASTILLO,1,34,137.66
JEANNE,LAWSON,2,27,136.73
RUSSELL,BRINSON,1,36,136.64
LINDA,WILLIAMS,1,26,135.74
MIRIAM,MCKINNEY,1,26,135.74
JIMMIE,EGGLESTON,1,28,135.72
MIGUEL,BETANCOURT,1,29,135.71
GLORIA,COOK,1,30,135.70
RAYMOND,MCWHORTER,2,30,135.70
DIANNE,SHELTON,2,31,135.69
ETHEL,WEBB,1,32,135.68
JAVIER,ELROD,1,32,135.68
REGINA,BERRY,1,34,135.66
KENT,ARSENAULT,1,27,134.73
JOSEPH,JOY,2,30,134.70
HELEN,HARRIS,1,32,134.68
JULIA,FLORES,1,32,134.68
MITCHELL,WESTMORELAND,2,32,134.68
DAVE,GARDINER,2,32,134.68
BARRY,LOVELACE,1,33,134.67
JORGE,OLIVARES,2,34,134.66
DON,BONE,1,25,133.75
CHERYL,MURPHY,1,27,133.73
TINA,SIMMONS,2,28,133.72
NATHANIEL,ADAM,1,28,133.72
DANA,HART,1,29,133.71
JENNIE,TERRY,2,29,133.71
ROSA,REYNOLDS,2,30,133.70
BESSIE,MORRISON,1,28,132.72
STEVEN,CURLEY,1,29,132.71
TRACY,COLE,1,30,132.70
RONALD,WEINER,2,30,132.70
JORDAN,ARCHULETA,1,30,132.70
COURTNEY,DAY,1,32,132.68
KAREN,JACKSON,2,27,131.73
JAMES,GANNON,2,30,131.70
GEORGE,LINTON,1,33,131.67
KATHRYN,COLEMAN,1,26,130.74
EDUARDO,HIATT,1,27,130.73
JOYCE,EDWARDS,2,28,130.72
MICHELE,GRANT,2,30,130.70
DEBBIE,REYES,1,32,130.68
HAROLD,MARTINO,1,32,130.68
GILBERT,SLEDGE,2,28,129.72
TRACY,HERRMANN,1,28,129.72
KATHY,JAMES,1,30,129.70
CASSANDRA,WALTERS,1,30,129.70
RAMONA,HALE,2,30,129.70
SALVADOR,TEEL,2,30,129.70
VIRGINIA,GREEN,2,32,129.68
VIOLA,HANSON,2,32,129.68
JUSTIN,NGO,2,36,129.64
PATRICIA,JOHNSON,1,27,128.73
EDDIE,TOMLIN,1,27,128.73
JASON,MORRISSEY,1,28,128.72
TERESA,ROGERS,1,29,128.71
MONICA,HICKS,2,30,128.70
SHERRI,RHODES,1,33,128.67
JIM,REA,1,33,128.67
MILTON,HOWLAND,2,25,127.75
JANET,PHILLIPS,1,27,127.73
AMY,LOPEZ,1,29,127.71
TERRY,CARLSON,1,29,127.71
MICHAEL,SILVERMAN,1,29,127.71
WALTER,PERRYMAN,2,30,127.70
MARJORIE,TUCKER,1,32,127.68
FRANK,WAGGONER,2,32,127.68
MARTHA,GONZALEZ,1,34,127.66
JOANNE,ROBERTSON,2,34,127.66
TERRI,VASQUEZ,1,27,126.73
BRADLEY,MOTLEY,1,27,126.73
SONIA,GREGORY,1,28,126.72
ANDRE,RAPP,1,28,126.72
JAIME,NETTLES,2,29,126.71
ISAAC,OGLESBY,2,29,126.71
FLORENCE,WOODS,1,30,126.70
SHIRLEY,ALLEN,2,31,126.69
THELMA,MURRAY,1,32,126.68
VERONICA,STONE,1,32,126.68
RUTH,MARTINEZ,1,24,125.76
ALAN,KAHN,1,26,124.74
RICK,MATTOX,2,27,124.73
BRYAN,HARDISON,2,28,124.72
CRAIG,MORRELL,2,30,124.70
JOY,GEORGE,2,33,124.67
CARRIE,PORTER,1,34,124.66
LYNN,PAYNE,1,28,123.72
NINA,SOTO,1,29,123.71
MARC,OUTLAW,2,30,123.70
MELISSA,KING,1,34,123.66
BEN,EASTER,2,26,122.74
ERIC,ROBERT,1,27,122.73
BRANDY,GRAVES,1,28,122.72
CATHY,SPENCER,1,29,122.71
HILDA,HOPKINS,1,29,122.71
CHRISTY,VARGAS,1,31,122.69
NATHAN,RUNYON,1,32,122.68
HEIDI,LARSON,2,34,122.66
JOHNNIE,CHISHOLM,2,24,121.76
VALERIE,BLACK,1,26,121.74
GERALD,FULTZ,2,30,121.70
PHILIP,CAUSEY,1,31,121.69
JEFFERY,PINSON,2,31,121.69
PAUL,TROUT,2,23,120.77
DAWN,SULLIVAN,1,26,120.74
ARLENE,HARVEY,1,26,120.74
ALFRED,CASILLAS,2,26,120.74
CHARLIE,BESS,2,26,120.74
BYRON,BOX,1,29,120.71
SANDRA,MARTIN,2,28,120.71
VICKIE,BREWER,2,31,120.69
BEATRICE,ARNOLD,1,26,119.74
HECTOR,POINDEXTER,2,26,119.74
LEE,HAWKS,1,27,119.73
PATSY,DAVIDSON,2,28,119.72
AUDREY,RAY,1,29,119.71
SARAH,LEWIS,2,30,119.70
JOSHUA,MARK,1,30,119.70
PATRICK,NEWSOM,1,31,119.69
SALLY,PIERCE,2,32,119.68
STEPHANIE,MITCHELL,1,25,118.75
JAMIE,WAUGH,2,25,118.75
TRACEY,BARRETT,2,27,118.73
MISTY,LAMBERT,2,27,118.73
NORA,HERRERA,2,28,118.72
STEPHEN,QUALLS,1,28,118.72
CLIFTON,MALCOLM,2,27,118.72
ERIK,GUILLEN,2,29,118.71
MARY,SMITH,1,32,118.68
LEROY,BUSTAMANTE,1,32,118.68
MARSHALL,THORN,1,23,117.77
SAM,MCDUFFIE,1,24,117.76
PERRY,SWAFFORD,1,24,117.76
FERNANDO,CHURCHILL,2,25,117.75
MARLENE,WELCH,1,26,117.74
VELMA,LUCAS,1,27,117.73
BETTY,WHITE,2,28,117.72
ELLEN,SIMPSON,1,28,117.72
TODD,TAN,1,29,117.71
TED,BREAUX,2,29,117.71
CAROLYN,PEREZ,2,30,117.70
TERRENCE,GUNDERSON,1,30,117.70
KEVIN,SCHULER,1,22,116.78
EDWIN,BURK,1,23,116.77
MANUEL,MURRELL,1,30,116.70
KRISTIN,JOHNSTON,1,31,116.69
THEODORE,CULP,2,31,116.69
MAXINE,SILVA,2,32,116.68
DAVID,ROYAL,2,26,115.74
CECIL,VINES,1,26,115.74
JEAN,BELL,1,27,115.73
REGINALD,KINDER,1,28,115.72
DEBORAH,WALKER,1,29,115.71
BECKY,MILES,2,29,115.71
HERMAN,DEVORE,1,29,115.71
CLYDE,TOBIAS,1,29,115.71
MARION,OCAMPO,1,29,115.71
SHARON,ROBINSON,2,30,115.70
HEATHER,MORRIS,1,30,115.70
MARCUS,HIDALGO,2,30,115.70
ANGEL,BARCLAY,1,32,115.68
JESUS,MCCARTNEY,2,24,114.76
DOUGLAS,GRAF,1,25,114.75
MARIE,TURNER,1,26,114.74
DOLORES,WAGNER,2,26,114.74
CHARLENE,ALVAREZ,2,27,114.73
EVELYN,MORGAN,2,28,114.72
EDWARD,BAUGH,2,28,114.72
DENNIS,GILMAN,1,28,114.72
BILL,GAVIN,2,28,114.72
HOLLY,FOX,2,31,114.69
MATTHEW,MAHAN,2,31,114.69
LAURA,RODRIGUEZ,1,22,113.78
ANDY,VANHORN,2,25,113.75
SHELLY,WATTS,2,26,113.74
GLEN,TALBERT,1,26,113.74
RENE,MCALISTER,2,26,113.74
AMBER,DIXON,1,27,113.73
CINDY,FISHER,2,29,113.71
CLIFFORD,BOWENS,1,29,113.71
DARLENE,ROSE,2,31,113.69
LOIS,BUTLER,2,35,113.65
BRENT,HARKINS,1,23,112.77
TYRONE,ASHER,1,24,112.76
ASHLEY,RICHARDSON,1,25,112.75
SETH,HANNON,2,25,112.75
LARRY,THRASHER,2,26,112.74
DALE,RATCLIFF,1,27,112.73
MARIO,CHEATHAM,1,28,112.72
GERALDINE,PERKINS,1,30,112.70
MABEL,HOLLAND,2,30,112.70
CALVIN,MARTEL,1,23,111.77
CLAUDE,HERZOG,1,25,111.75
CLAUDIA,FULLER,1,26,111.74
GABRIEL,HARDER,1,26,111.74
VICTORIA,GIBSON,1,27,111.73
EARL,SHANKS,1,27,111.73
DARYL,LARUE,2,27,111.73
GINA,WILLIAMSON,1,28,111.72
TERRANCE,ROUSH,1,29,111.71
CYNTHIA,YOUNG,1,32,111.68
MYRTLE,FLEMING,1,24,110.76
AARON,SELBY,2,24,110.76
TRAVIS,ESTEP,1,25,110.75
GEORGIA,JACOBS,1,26,110.74
AMANDA,CARTER,2,27,110.73
YOLANDA,WEAVER,2,27,110.73
RUBY,WASHINGTON,2,28,110.72
RANDY,GAITHER,1,28,110.72
EVERETT,BANDA,2,28,110.72
KEN,PREWITT,2,29,110.71
JUANITA,MASON,2,30,110.70
KYLE,SPURLOCK,2,30,110.70
HAZEL,WARREN,1,34,110.66
DAN,PAINE,1,22,109.78
GAIL,KNIGHT,1,25,109.75
KATIE,ELLIOTT,2,25,109.75
RICHARD,MCCRARY,1,25,109.75
LEON,BOSTIC,1,25,109.75
WALLACE,SLONE,1,25,109.75
JOSEPHINE,GOMEZ,1,26,109.74
ANDREW,PURDY,2,27,109.73
DEAN,SAUER,1,27,109.73
KRISTINA,CHAMBERS,1,28,109.72
JULIAN,VEST,2,28,109.72
LEONARD,SCHOFIELD,1,32,109.68
FRANCES,PARKER,1,22,108.78
DARREN,WINDHAM,2,24,108.76
VICKI,FIELDS,1,25,108.75
SIDNEY,BURLESON,1,25,108.75
SERGIO,STANFIELD,1,26,108.74
LUCILLE,HOLMES,1,28,108.72
CAROLE,BARNETT,2,30,108.70
MARIAN,MENDOZA,1,23,107.77
DORA,MEDINA,2,23,107.77
ELAINE,STEVENS,2,24,107.76
MAX,PITT,1,24,107.76
EDNA,WEST,2,26,107.74
DEANNA,BYRD,1,26,107.74
KELLY,KNOTT,1,25,107.74
VIRGIL,WOFFORD,1,27,107.73
JULIE,SANCHEZ,1,29,107.71
JEFF,EAST,2,30,107.70
TOM,MILNER,1,32,107.68
PETER,MENARD,1,23,106.77
CARL,ARTIS,1,23,106.77
CARLOS,COUGHLIN,1,23,106.77
LISA,ANDERSON,2,24,106.76
LILLIAN,GRIFFIN,1,25,106.75
ERIN,DUNN,2,27,106.73
BOBBY,BOUDREAU,2,35,106.65
FREDERICK,ISBELL,2,21,105.79
DANIELLE,DANIELS,2,25,105.75
THOMAS,GRIGSBY,1,25,105.75
VINCENT,RALSTON,1,25,105.75
BRAD,MCCURDY,2,25,105.75
DIANA,ALEXANDER,1,27,105.73
JIMMY,SCHRADER,1,29,105.71
STELLA,MORENO,1,22,104.78
RODNEY,MOELLER,2,23,104.77
LEO,EBERT,1,23,104.77
LEAH,CURTIS,1,25,104.75
BRENDA,WRIGHT,2,26,104.74
MARK,RINEHART,2,26,104.74
FRANCIS,SIKES,2,26,104.74
CLARENCE,GAMEZ,1,30,104.70
ROSE,HOWARD,2,22,103.78
BRUCE,SCHWARZ,2,23,103.77
RON,DELUCA,2,23,103.77
PEDRO,CHESTNUT,2,24,103.76
BETH,FRANKLIN,2,25,103.75
GARY,COY,2,25,103.75
CLINTON,BUFORD,2,25,103.75
CARLA,GUTIERREZ,2,26,103.74
DENISE,KELLY,1,27,103.73
JENNY,CASTRO,2,27,103.73
MARTIN,BALES,1,27,103.73
NANCY,THOMAS,1,28,103.72
JEREMY,HURTADO,2,28,103.72
ROBIN,HAYES,1,24,102.76
MICHEAL,FORMAN,1,26,102.74
ADAM,GOOCH,1,22,101.78
COREY,HAUSER,1,22,101.78
DWAYNE,OLVERA,1,22,101.78
LOUISE,JENKINS,1,25,101.75
BERTHA,FERGUSON,1,25,101.75
WILLIE,MARKHAM,2,25,101.75
WILLIE,HOWELL,2,26,101.74
ERIKA,PENA,1,26,101.74
PHILLIP,HOLM,1,26,101.74
JESSE,SCHILLING,2,26,101.74
RAUL,FORTIER,1,20,100.80
DORIS,REED,2,22,100.78
CONNIE,WALLACE,1,23,100.77
SHANNON,FREEMAN,2,24,100.76
RONNIE,RICKETTS,2,25,100.75
WILLIAM,SATTERFIELD,2,26,100.74
DUSTIN,GILLETTE,2,26,100.74
JANE,BENNETT,2,28,100.72
LAWRENCE,LAWTON,2,31,100.69
JUDITH,COX,2,33,100.67
OSCAR,AQUINO,2,20,99.80
RICARDO,MEADOR,1,21,99.79
KELLY,TORRES,1,22,99.78
LAURIE,LAWRENCE,1,23,99.77
ALBERT,CROUSE,1,23,99.77
RANDALL,NEUMANN,2,23,99.77
KURT,EMMONS,1,23,99.77
CHRISTINE,ROBERTS,2,24,99.76
CHESTER,BENNER,1,24,99.76
DOROTHY,TAYLOR,1,25,99.75
FREDDIE,DUGGAN,1,25,99.75
IVAN,CROMWELL,2,26,99.74
ROSS,GREY,1,27,99.73
THERESA,WATSON,2,30,99.70
KAY,CALDWELL,1,20,98.80
DONNA,THOMPSON,1,21,98.79
FRANCISCO,SKIDMORE,2,22,98.78
CODY,NOLEN,2,22,98.78
STACY,CUNNINGHAM,2,23,98.77
AGNES,BISHOP,2,23,98.77
ANNETTE,OLSON,1,24,98.76
MILDRED,BAILEY,1,25,98.75
GWENDOLYN,MAY,1,25,98.75
ELMER,NOE,2,26,98.74
PAULINE,HENRY,1,27,98.73
DANIEL,CABRAL,2,20,97.80
RAFAEL,ABNEY,1,21,97.79
BEVERLY,BROOKS,2,24,97.76
CARMEN,OWENS,1,26,97.74
RENEE,LANE,1,26,97.74
MELVIN,ELLINGTON,1,26,97.74
GENE,SANBORN,1,27,97.73
DEREK,BLAKELY,1,28,97.72
WILLARD,LUMPKIN,2,22,96.78
PEGGY,MYERS,1,24,96.76
JUDY,GRAY,2,25,96.75
JOSE,ANDREW,1,25,96.75
CLAYTON,BARBEE,2,26,96.74
IAN,STILL,2,27,96.73
ENRIQUE,FORSYTHE,1,28,96.72
ERICA,MATTHEWS,2,22,95.78
DERRICK,BOURQUE,1,22,95.78
SHANE,MILLARD,2,22,95.78
PAMELA,BAKER,1,23,95.77
NATALIE,MEYER,1,23,95.77
TONI,HOLT,1,23,95.77
BENJAMIN,VARNEY,1,23,95.77
JOEL,FRANCISCO,2,23,95.77
KIMBERLY,LEE,2,25,95.75
CONSTANCE,REID,2,25,95.75
EDGAR,RHOADS,2,25,95.75
ESTHER,CRAWFORD,2,28,95.72
LONNIE,TIRADO,2,18,94.82
NELLIE,GARRETT,1,21,94.79
NICOLE,PETERSON,1,22,94.78
EMMA,BOYD,1,23,94.77
SUZANNE,NICHOLS,2,24,94.76
SCOTT,SHELLEY,1,25,94.75
APRIL,BURNS,1,26,94.74
ANDREA,HENDERSON,1,22,93.78
LORETTA,CARPENTER,1,22,93.78
HARVEY,GUAJARDO,1,22,93.78
GLENN,PULLEN,1,23,93.77
CHARLOTTE,HUNTER,1,24,93.76
TAMARA,NGUYEN,1,25,93.75
JACKIE,LYNCH,1,25,93.75
HOWARD,FORTNER,1,26,93.74
JENNIFER,DAVIS,2,28,93.72
YVONNE,WATKINS,2,21,92.79
ROBERT,BAUGHMAN,2,21,92.79
SUSAN,WILSON,2,24,92.76
RITA,GRAHAM,1,24,92.76
MELANIE,ARMSTRONG,1,25,92.75
KATHLEEN,ADAMS,2,27,92.73
MEGAN,PALMER,2,27,92.73
ALLISON,STANLEY,2,27,92.73
WILMA,RICHARDS,2,20,91.80
ANNA,HILL,2,21,91.79
DELORES,HANSEN,2,21,91.79
DANNY,ISOM,1,21,91.79
CAROL,GARCIA,2,22,91.78
TIMOTHY,BUNN,1,22,91.78
PHYLLIS,FOSTER,1,23,91.77
SEAN,DOUGLASS,2,23,91.77
EMILY,DIAZ,2,24,91.76
VICTOR,BARKLEY,2,24,91.76
BOB,PFEIFFER,2,24,91.76
RICKY,SHELBY,2,25,91.75
DARRELL,POWER,2,25,91.75
LUCY,WHEELER,1,26,91.74
JESSIE,BANKS,2,26,91.74
WENDY,HARRISON,1,30,91.70
HUGH,WALDROP,2,21,90.79
MATHEW,BOLIN,1,22,90.78
VIVIAN,RUIZ,1,23,90.77
JEFFREY,SPEAR,2,23,90.77
RUBEN,GEARY,1,21,89.79
JULIO,NOLAND,2,21,89.79
LESLIE,GORDON,1,22,89.78
MARGARET,MOORE,2,23,89.77
LILLIE,KIM,2,23,89.77
DONALD,MAHON,2,23,89.77
REBECCA,SCOTT,2,24,89.76
JACK,FOUST,1,24,89.76
ERNEST,STEPP,2,25,89.75
CHAD,CARBONE,1,25,89.75
KEITH,RICO,1,26,89.74
JAY,ROBB,1,26,89.74
VERNON,CHAPA,2,18,88.82
TARA,RYAN,1,20,88.80
TYLER,WREN,2,21,88.79
BERNARD,COLBY,1,22,88.78
CHRISTIAN,JUNG,1,24,88.76
FRED,WHEAT,2,25,88.75
BILLIE,HORTON,2,26,88.74
KRISTEN,CHAVEZ,2,18,87.82
JARED,ELY,1,19,87.81
BONNIE,HUGHES,2,21,87.79
MAUREEN,LITTLE,2,21,87.79
ANNE,POWELL,2,23,87.77
COLLEEN,BURTON,1,24,87.76
JON,WILES,2,24,87.76
VANESSA,SIMS,1,19,86.81
LEWIS,LYMAN,1,19,86.81
LORRAINE,STEPHENS,2,21,86.79
FELICIA,SUTTON,1,28,86.72
ALFREDO,MCADAMS,2,20,85.80
ALLEN,BUTTERFIELD,2,21,85.79
KENNETH,GOODEN,2,17,84.83
RACHEL,BARNES,1,22,84.78
CHRIS,BROTHERS,2,22,84.78
JOAN,COOPER,1,23,84.77
ROBERTA,HARPER,1,23,84.77
EVA,RAMOS,1,18,83.82
AUSTIN,CINTRON,2,19,83.81
ALICIA,MILLS,1,21,83.79
ARMANDO,GRUBER,2,21,83.79
WADE,DELVALLE,1,22,83.78
KIM,CRUZ,1,21,82.79
LANCE,PEMBERTON,1,22,82.78
LYDIA,BURKE,1,24,82.76
BARBARA,JONES,2,22,81.78
CORY,MEEHAN,1,24,81.76
MELINDA,FERNANDEZ,1,17,80.83
CHRISTINA,RAMIREZ,2,18,80.82
EILEEN,CARR,2,18,80.82
SAMUEL,MARLOW,2,21,80.79
ROLAND,SOUTH,2,23,80.77
BOBBIE,CRAIG,1,24,80.76
NORMAN,CURRIER,1,26,80.74
ALLAN,CORNISH,1,19,79.81
LUIS,YANEZ,1,20,79.80
NORMA,GONZALES,1,21,79.79
JACOB,LANCE,1,21,79.79
RAY,HOULE,1,22,79.78
ANTONIO,MEEK,1,16,78.84
HERBERT,KRUGER,2,20,78.80
GREGORY,MAULDIN,1,23,78.77
PAULA,BRYANT,2,18,77.82
NELSON,CHRISTENSON,1,20,77.80
IRENE,PRICE,2,23,77.77
ANN,EVANS,1,17,76.83
PEARL,GARZA,2,22,76.78
IDA,ANDREWS,2,23,76.77
DARRYL,ASHCRAFT,2,23,76.77
MARVIN,YEE,2,21,75.79
DWIGHT,LOMBARDI,1,17,74.83
ADRIAN,CLARY,2,19,74.81
JEANETTE,GREENE,1,20,74.80
FRANKLIN,TROUTMAN,2,22,74.78
TONY,CARRANZA,2,21,74.78
JEROME,KENYON,1,16,73.84
SHEILA,WELLS,1,18,73.82
HENRY,BILLINGSLEY,1,18,73.82
JO,FOWLER,2,20,73.80
JUAN,FRALEY,1,23,73.77
FELIX,GAFFNEY,1,24,73.76
JONATHAN,SCARBOROUGH,1,18,72.82
TERRY,GRISSOM,2,20,72.80
EDITH,MCDONALD,1,19,71.81
EUGENE,CULPEPPER,1,19,71.81
LAUREN,HUDSON,2,20,71.80
ANTHONY,SCHWAB,2,20,71.80
SAMANTHA,DUNCAN,2,23,71.77
IRMA,PEARSON,2,18,70.82
WAYNE,TRUONG,2,19,70.81
FLOYD,GANDY,1,17,69.83
PENNY,NEAL,1,18,68.82
JILL,HAWKINS,1,21,68.79
VERA,MCCOY,1,18,67.82
JOANN,GARDNER,2,16,66.84
LLOYD,DOWD,1,19,66.81
ALBERTO,HENNING,2,21,66.79
LESTER,KRAUS,2,16,65.84
KIRK,STCLAIR,1,19,64.81
MATTIE,HOFFMAN,2,22,64.78
ANITA,MORALES,2,15,62.85
TIFFANY,JORDAN,2,14,59.86
KATHERINE,RIVERA,2,14,58.86
ANNIE,RUSSELL,2,18,58.82
JOHNNY,TURPIN,2,19,57.81
BRIAN,WYMAN,1,12,52.88
LEONA,OBRIEN,2,14,50.86
CAROLINE,BOWMAN,1,15,50.85
